"gene","log2FoldChange","padj","status"
"ENSG00000119927.13",-4.43619436077758,0,"DOWN"
"ENSG00000101605.12",-4.75283202028709,0,"DOWN"
"ENSG00000099953.9",6.251211103753,0,"UP"
"ENSG00000123500.9",7.12338123841384,0,"UP"
"ENSG00000117650.12",4.22216861451143,3.24450812004019e-312,"UP"
"ENSG00000170262.12",-2.68295168699481,3.30993452354308e-297,"DOWN"
"ENSG00000226009.1",-5.13480926114946,1.54382772944477e-286,"DOWN"
"ENSG00000022267.16",-5.02822868747021,1.72136869828281e-285,"DOWN"
"ENSG00000060718.20",6.2282925784847,4.11348194010661e-270,"UP"
"ENSG00000079308.16",-3.10706085004514,5.11484893737964e-270,"DOWN"
"ENSG00000230838.1",5.53163594801129,3.81094367428357e-262,"UP"
"ENSG00000133800.8",-4.99844921911546,3.9982352780053e-255,"DOWN"
"ENSG00000090889.11",3.82527315226913,4.71347314610641e-254,"UP"
"ENSG00000248896.2",-1.6508447038615,1.23748061217727e-244,"DOWN"
"ENSG00000135437.9",-3.92735307758182,2.76737604910275e-244,"DOWN"
"ENSG00000105974.11",-3.41309929596193,7.76832056382775e-240,"DOWN"
"ENSG00000134962.6",-4.71287877515847,4.69042563127846e-235,"DOWN"
"ENSG00000203805.10",5.01362419182856,7.71561923070773e-235,"UP"
"ENSG00000169418.9",-3.63567683027452,3.76180830758725e-234,"DOWN"
"ENSG00000173641.17",-5.12098773310109,9.03202044519564e-234,"DOWN"
"ENSG00000095637.21",-3.66381939930532,4.41529504075324e-230,"DOWN"
"ENSG00000056998.19",-4.13996820471945,2.80778214551971e-228,"DOWN"
"ENSG00000170145.4",-2.44955924376242,1.13113562534316e-227,"DOWN"
"ENSG00000183856.10",3.70707386059721,1.17003384291751e-227,"UP"
"ENSG00000181856.14",-4.66015561386991,3.51246419498886e-225,"DOWN"
"ENSG00000166803.11",3.28236943641476,4.04923198821978e-225,"UP"
"ENSG00000120049.18",-5.1527689651102,1.34253123495141e-224,"DOWN"
"ENSG00000164849.9",-2.89074144602603,1.06614598278457e-223,"DOWN"
"ENSG00000257607.1",-2.91539139688762,4.94069892644484e-223,"DOWN"
"ENSG00000131471.6",-4.02476832761181,7.53585562380742e-223,"DOWN"
"ENSG00000213561.4",-2.27838817740626,3.86539431384164e-222,"DOWN"
"ENSG00000274697.1",-2.05545203032355,1.40650166477102e-219,"DOWN"
"ENSG00000163815.5",-3.61020469513759,1.40650166477102e-219,"DOWN"
"ENSG00000213904.8",-1.76839724084932,3.46884650529312e-219,"DOWN"
"ENSG00000175063.16",4.15780049487404,5.86876163696512e-219,"UP"
"ENSG00000276043.4",3.33237703199737,3.67892862219158e-218,"UP"
"ENSG00000123612.15",-5.20574197208839,1.15766939848617e-215,"DOWN"
"ENSG00000127564.16",3.1542727499912,1.56540096538697e-215,"UP"
"ENSG00000088325.15",3.52940081786718,2.73860067719628e-215,"UP"
"ENSG00000172901.19",-5.06021313691738,2.83536632526405e-212,"DOWN"
"ENSG00000105011.8",3.01859261880453,3.69170237034335e-211,"UP"
"ENSG00000165028.11",-2.93347528458431,4.95629190347982e-211,"DOWN"
"ENSG00000148180.19",-2.552844547492,8.18247418086833e-211,"DOWN"
"ENSG00000143228.12",3.74441873793325,2.62568442211968e-209,"UP"
"ENSG00000145708.10",-3.91504366068808,3.80891083979691e-209,"DOWN"
"ENSG00000152253.8",2.85139081239574,1.05351262199769e-206,"UP"
"ENSG00000123485.11",3.50954907396301,2.89914440061933e-206,"UP"
"ENSG00000261480.1",-1.54607763101278,3.99968392181381e-206,"DOWN"
"ENSG00000077152.9",3.19109906197202,4.77792178608409e-206,"UP"
"ENSG00000165410.14",-2.26295027679007,1.07472956732409e-205,"DOWN"
"ENSG00000137804.12",3.03468177017675,4.97107610143363e-204,"UP"
"ENSG00000260105.6",-3.97372001391134,6.60086000271249e-204,"DOWN"
"ENSG00000076555.15",-3.66169454617865,2.93276373241682e-201,"DOWN"
"ENSG00000137745.11",6.23384247111198,1.26752671347048e-199,"UP"
"ENSG00000124743.5",-3.84892348967584,2.49006652210154e-199,"DOWN"
"ENSG00000068976.13",-3.40541331747346,3.1612305861095e-199,"DOWN"
"ENSG00000263342.1",-4.73634071763094,5.60073791064304e-198,"DOWN"
"ENSG00000135451.12",3.55120442401274,4.98486793618863e-196,"UP"
"ENSG00000121691.4",-2.05474540463388,1.46927352836301e-195,"DOWN"
"ENSG00000123243.14",-4.03370875518099,1.61707263768533e-193,"DOWN"
"ENSG00000079435.9",-4.54083498865864,3.8205377206485e-193,"DOWN"
"ENSG00000170312.15",3.12876330265563,7.28858298317525e-193,"UP"
"ENSG00000112984.11",3.30692172054236,6.38108888690205e-192,"UP"
